fips,hpsa_score,hpsa_score_norm,shortage_flag
01001,13.0,0.52,0
01003,13.67,0.55,0
01005,11.82,0.47,0
01007,17.0,0.68,1
01009,11.0,0.44,0
01011,17.67,0.71,1
01013,16.0,0.64,1
01015,5.6,0.22,0
01017,17.0,0.68,1
01019,12.22,0.49,0
01021,12.0,0.48,0
01023,8.4,0.34,0
01025,7.5,0.3,0
01027,11.75,0.47,0
01029,14.0,0.56,0
01031,6.5,0.26,0
01033,14.33,0.57,0
01035,13.0,0.52,0
01037,14.0,0.56,0
01039,5.56,0.22,0
01041,11.0,0.44,0
01043,14.5,0.58,0
01045,11.0,0.44,0
01047,12.4,0.5,0
01049,2.89,0.12,0
01051,14.17,0.57,0
01053,8.18,0.33,0
01055,1.0,0.04,0
01057,9.5,0.38,0
01059,5.0,0.2,0
01061,13.0,0.52,0
01063,21.0,0.84,1
01065,20.67,0.83,1
01067,7.67,0.31,0
01069,6.0,0.24,0
01071,4.38,0.18,0
01073,10.43,0.42,0
01075,15.5,0.62,1
01077,3.17,0.13,0
01079,14.5,0.58,0
01081,16.0,0.64,1
01083,7.33,0.29,0
01085,3.2,0.13,0
01087,17.38,0.7,1
01089,14.85,0.59,0
01091,2.43,0.1,0
01093,15.0,0.6,1
01095,4.44,0.18,0
01097,1.64,0.07,0
01099,6.25,0.25,0
01101,15.08,0.6,1
01103,8.0,0.32,0
01105,18.0,0.72,1
01107,20.0,0.8,1
01109,12.67,0.51,0
01111,11.83,0.47,0
01113,9.25,0.37,0
01115,8.6,0.34,0
01117,0.0,0.0,0
01119,8.86,0.35,0
01121,11.78,0.47,0
01123,14.61,0.58,0
01125,8.86,0.35,0
01127,16.67,0.67,1
01129,16.0,0.64,1
01131,10.7,0.43,0
01133,12.33,0.49,0
02013,9.38,0.38,0
02016,8.0,0.32,0
02020,3.89,0.16,0
02050,16.91,0.68,1
02060,5.5,0.22,0
02063,7.88,0.32,0
02066,9.17,0.37,0
02068,10.25,0.41,0
02070,7.36,0.29,0
02090,9.67,0.39,0
02100,4.44,0.18,0
02105,9.0,0.36,0
02110,6.38,0.26,0
02122,7.5,0.3,0
02130,15.71,0.63,1
02150,5.8,0.23,0
02158,18.56,0.74,1
02164,9.56,0.38,0
02170,9.05,0.36,0
02180,13.88,0.56,0
02185,16.5,0.66,1
02188,16.24,0.65,1
02195,8.5,0.34,0
02198,10.53,0.42,0
02220,5.88,0.24,0
02230,10.0,0.4,0
02240,12.33,0.49,0
02261,5.8,0.23,0
02275,9.14,0.37,0
02282,7.0,0.28,0
02290,9.45,0.38,0
04001,12.98,0.52,0
04003,11.9,0.48,0
04005,13.59,0.54,0
04007,11.16,0.45,0
04009,12.52,0.5,0
04011,11.75,0.47,0
04012,15.7,0.63,1
04013,13.28,0.53,0
04015,9.09,0.36,0
04017,13.71,0.55,0
04019,13.45,0.54,0
04021,12.58,0.5,0
04023,13.94,0.56,0
04025,13.08,0.52,0
04027,8.74,0.35,0
05001,7.46,0.3,0
05003,14.75,0.59,0
05005,11.55,0.46,0
05007,13.2,0.53,0
05009,10.0,0.4,0
05011,2.64,0.11,0
05013,11.67,0.47,0
05015,17.0,0.68,1
05017,6.64,0.27,0
05019,14.0,0.56,0
05021,15.4,0.62,1
05023,4.55,0.18,0
05025,11.0,0.44,0
05027,15.0,0.6,1
05029,7.67,0.31,0
05031,13.0,0.52,0
05033,2.31,0.09,0
05035,16.91,0.68,1
05037,7.0,0.28,0
05039,4.8,0.19,0
05041,3.14,0.13,0
05043,7.0,0.28,0
05045,8.4,0.34,0
05047,6.55,0.26,0
05049,6.33,0.25,0
05051,16.0,0.64,1
05053,12.5,0.5,0
05055,12.0,0.48,0
05057,18.0,0.72,1
05059,10.67,0.43,0
05061,4.44,0.18,0
05063,17.0,0.68,1
05065,4.6,0.18,0
05067,7.4,0.3,0
05069,4.93,0.2,0
05071,9.86,0.39,0
05073,13.33,0.53,0
05075,13.67,0.55,0
05077,14.5,0.58,0
05079,4.44,0.18,0
05081,12.0,0.48,0
05083,12.86,0.51,0
05085,11.22,0.45,0
05087,7.67,0.31,0
05089,11.25,0.45,0
05091,15.0,0.6,1
05093,3.4,0.14,0
05095,3.15,0.13,0
05097,16.0,0.64,1
05099,3.75,0.15,0
05101,16.5,0.66,1
05103,10.27,0.41,0
05105,2.45,0.1,0
05107,0.93,0.04,0
05109,3.0,0.12,0
05111,6.75,0.27,0
05113,16.8,0.67,1
05115,16.33,0.65,1
05117,13.0,0.52,0
05119,10.08,0.4,0
05121,14.5,0.58,0
05123,9.5,0.38,0
05125,17.0,0.68,1
05127,12.0,0.48,0
05129,14.0,0.56,0
05131,2.5,0.1,0
05133,10.33,0.41,0
05135,6.45,0.26,0
05137,16.0,0.64,1
05139,14.42,0.58,0
05141,9.0,0.36,0
05143,12.94,0.52,0
05145,4.9,0.2,0
05147,6.82,0.27,0
05149,2.42,0.1,0
06001,3.14,0.13,0
06003,5.0,0.2,0
06005,7.5,0.3,0
06007,9.58,0.38,0
06009,6.72,0.27,0
06011,9.7,0.39,0
06013,0.26,0.01,0
06015,13.6,0.54,0
06017,11.26,0.45,0
06019,12.25,0.49,0
06021,6.96,0.28,0
06023,9.7,0.39,0
06025,9.42,0.38,0
06027,11.21,0.45,0
06029,13.07,0.52,0
06031,11.64,0.47,0
06033,12.56,0.5,0
06035,10.72,0.43,0
06037,9.9,0.4,0
06039,13.25,0.53,0
06041,5.58,0.22,0
06043,10.91,0.44,0
06045,7.7,0.31,0
06047,9.12,0.36,0
06049,8.21,0.33,0
06051,3.86,0.15,0
06053,11.78,0.47,0
06055,2.45,0.1,0
06057,7.32,0.29,0
06059,11.5,0.46,0
06061,3.08,0.12,0
06063,8.97,0.36,0
06065,11.48,0.46,0
06067,9.84,0.39,0
06069,5.31,0.21,0
06071,13.31,0.53,0
06073,2.49,0.1,0
06075,6.08,0.24,0
06077,8.86,0.35,0
06079,1.7,0.07,0
06081,9.62,0.38,0
06083,9.17,0.37,0
06085,7.32,0.29,0
06087,5.78,0.23,0
06089,7.01,0.28,0
06091,6.75,0.27,0
06093,10.98,0.44,0
06095,6.8,0.27,0
06097,1.86,0.07,0
06099,6.22,0.25,0
06101,3.0,0.12,0
06103,11.02,0.44,0
06105,15.11,0.6,1
06107,11.68,0.47,0
06109,11.59,0.46,0
06111,12.28,0.49,0
06113,5.5,0.22,0
06115,13.26,0.53,0
08001,14.29,0.57,0
08003,7.33,0.29,0
08005,13.61,0.54,0
08007,11.8,0.47,0
08009,12.2,0.49,0
08011,6.0,0.24,0
08013,11.51,0.46,0
08015,9.83,0.39,0
08017,11.17,0.45,0
08019,17.0,0.68,1
08021,14.5,0.58,0
08023,22.0,0.88,1
08025,9.0,0.36,0
08027,14.0,0.56,0
08029,6.67,0.27,0
08031,12.68,0.51,0
08033,17.5,0.7,1
08035,0.0,0.0,0
08037,0.0,0.0,0
08039,8.57,0.34,0
08041,14.69,0.59,0
08043,10.42,0.42,0
08045,7.22,0.29,0
08047,16.0,0.64,1
08049,14.5,0.58,0
08051,13.8,0.55,0
08053,6.67,0.27,0
08055,6.12,0.24,0
08057,14.6,0.58,0
08059,14.5,0.58,0
08061,10.33,0.41,0
08063,3.12,0.12,0
08065,16.0,0.64,1
08067,11.33,0.45,0
08069,9.73,0.39,0
08071,11.25,0.45,0
08073,12.86,0.51,0
08075,4.22,0.17,0
08077,12.4,0.5,0
08079,3.5,0.14,0
08081,7.23,0.29,0
08083,16.11,0.64,1
08085,14.64,0.59,0
08087,12.2,0.49,0
08089,8.22,0.33,0
08091,14.0,0.56,0
08093,2.0,0.08,0
08095,4.6,0.18,0
08099,12.25,0.49,0
08101,9.2,0.37,0
08103,7.25,0.29,0
08105,19.33,0.77,1
08107,10.5,0.42,0
08109,18.0,0.72,1
08111,7.0,0.28,0
08113,11.0,0.44,0
08115,9.83,0.39,0
08117,21.0,0.84,1
08119,10.0,0.4,0
08121,13.5,0.54,0
08123,15.81,0.63,1
08125,8.67,0.35,0
09001,3.93,0.16,0
09003,1.85,0.07,0
09005,16.0,0.64,1
09007,13.0,0.52,0
09009,2.15,0.09,0
09011,1.55,0.06,0
09013,3.71,0.15,0
09015,3.38,0.14,0
09110,13.53,0.54,0
09120,18.67,0.75,1
09130,13.8,0.55,0
09140,10.5,0.42,0
09150,8.0,0.32,0
09160,14.5,0.58,0
09170,16.0,0.64,1
09180,13.43,0.54,0
09190,12.22,0.49,0
10001,4.12,0.16,0
10003,15.96,0.64,1
10005,3.3,0.13,0
11001,13.85,0.55,0
12001,1.89,0.08,0
12003,13.64,0.55,0
12005,0.96,0.04,0
12007,13.86,0.55,0
12009,12.73,0.51,0
12011,14.43,0.58,0
12013,9.33,0.37,0
12015,11.2,0.45,0
12017,11.91,0.48,0
12019,13.89,0.56,0
12021,13.13,0.53,0
12023,11.3,0.45,0
12027,13.33,0.53,0
12029,16.0,0.64,1
12031,17.64,0.71,1
12033,8.21,0.33,0
12035,16.0,0.64,1
12037,13.11,0.52,0
12039,14.0,0.56,0
12041,12.5,0.5,0
12043,15.0,0.6,1
12045,12.67,0.51,0
12047,15.0,0.6,1
12049,7.0,0.28,0
12051,9.2,0.37,0
12053,11.0,0.44,0
12055,15.5,0.62,1
12057,14.38,0.58,0
12059,13.33,0.53,0
12061,10.8,0.43,0
12063,8.11,0.32,0
12065,10.86,0.43,0
12067,15.67,0.63,1
12069,7.84,0.31,0
12071,13.79,0.55,0
12073,8.67,0.35,0
12075,11.64,0.47,0
12077,12.33,0.49,0
12079,13.6,0.54,0
12081,8.89,0.36,0
12083,13.18,0.53,0
12085,7.33,0.29,0
12086,13.43,0.54,0
12087,5.0,0.2,0
12089,6.56,0.26,0
12091,7.86,0.31,0
12093,7.0,0.28,0
12095,16.11,0.64,1
12097,10.0,0.4,0
12099,14.98,0.6,0
12101,7.75,0.31,0
12103,13.97,0.56,0
12105,13.84,0.55,0
12107,12.88,0.52,0
12109,13.94,0.56,0
12111,5.5,0.22,0
12113,14.85,0.59,0
12115,12.46,0.5,0
12117,13.76,0.55,0
12119,14.1,0.56,0
12121,17.67,0.71,1
12123,15.6,0.62,1
12125,9.6,0.38,0
12127,12.6,0.5,0
12129,14.75,0.59,0
12131,16.0,0.64,1
12133,11.2,0.45,0
13001,12.0,0.48,0
13003,16.5,0.66,1
13005,17.0,0.68,1
13007,8.0,0.32,0
13009,12.0,0.48,0
13011,17.0,0.68,1
13013,8.0,0.32,0
13015,8.0,0.32,0
13017,20.0,0.8,1
13019,7.0,0.28,0
13021,15.0,0.6,1
13023,12.25,0.49,0
13025,15.0,0.6,1
13027,17.0,0.68,1
13029,0.0,0.0,0
13031,20.0,0.8,1
13033,13.4,0.54,0
13035,13.0,0.52,0
13037,13.5,0.54,0
13039,8.5,0.34,0
13043,21.0,0.84,1
13045,17.0,0.68,1
13047,15.0,0.6,1
13049,9.17,0.37,0
13051,10.66,0.43,0
13053,8.0,0.32,0
13055,10.0,0.4,0
13057,0.0,0.0,0
13059,8.2,0.33,0
13061,10.33,0.41,0
13063,10.0,0.4,0
13065,11.0,0.44,0
13067,9.75,0.39,0
13069,19.5,0.78,1
13071,18.62,0.74,1
13073,18.0,0.72,1
13075,12.33,0.49,0
13079,14.0,0.56,0
13081,16.4,0.66,1
13083,13.25,0.53,0
13085,8.5,0.34,0
13087,22.0,0.88,1
13089,13.52,0.54,0
13091,2.82,0.11,0
13093,12.8,0.51,0
13095,14.06,0.56,0
13097,9.0,0.36,0
13099,18.0,0.72,1
13101,12.0,0.48,0
13103,7.56,0.3,0
13105,19.5,0.78,1
13107,10.14,0.41,0
13109,10.5,0.42,0
13111,12.33,0.49,0
13113,0.0,0.0,0
13115,18.0,0.72,1
13117,7.0,0.28,0
13119,18.0,0.72,1
13121,12.73,0.51,0
13123,8.0,0.32,0
13125,10.67,0.43,0
13127,20.33,0.81,1
13129,16.0,0.64,1
13131,19.0,0.76,1
13133,14.0,0.56,0
13135,15.48,0.62,1
13137,9.5,0.38,0
13139,4.67,0.19,0
13141,18.33,0.73,1
13143,13.0,0.52,0
13145,10.0,0.4,0
13147,6.75,0.27,0
13149,12.0,0.48,0
13151,0.0,0.0,0
13153,3.2,0.13,0
13155,11.5,0.46,0
13157,5.67,0.23,0
13159,14.5,0.58,0
13161,11.0,0.44,0
13163,16.83,0.67,1
13165,12.0,0.48,0
13167,18.0,0.72,1
13169,5.33,0.21,0
13171,10.0,0.4,0
13173,13.0,0.52,0
13175,9.5,0.38,0
13177,12.0,0.48,0
13179,15.5,0.62,1
13181,15.67,0.63,1
13183,13.0,0.52,0
13185,11.0,0.44,0
13187,16.0,0.64,1
13189,20.0,0.8,1
13191,12.33,0.49,0
13193,18.0,0.72,1
13195,12.0,0.48,0
13197,15.5,0.62,1
13199,14.0,0.56,0
13201,20.5,0.82,1
13205,15.29,0.61,1
13207,11.75,0.47,0
13209,13.0,0.52,0
13211,8.0,0.32,0
13213,8.0,0.32,0
13215,3.88,0.16,0
13217,0.0,0.0,0
13221,8.67,0.35,0
13223,6.0,0.24,0
13225,13.0,0.52,0
13227,6.75,0.27,0
13229,18.0,0.72,1
13231,14.0,0.56,0
13233,8.5,0.34,0
13235,10.5,0.42,0
13237,8.67,0.35,0
13239,18.0,0.72,1
13241,7.25,0.29,0
13243,13.0,0.52,0
13245,19.05,0.76,1
13247,15.0,0.6,1
13249,16.0,0.64,1
13251,16.0,0.64,1
13253,14.67,0.59,0
13255,10.5,0.42,0
13257,17.0,0.68,1
13259,20.0,0.8,1
13261,9.0,0.36,0
13263,17.0,0.68,1
13265,10.0,0.4,0
13267,9.62,0.38,0
13269,10.0,0.4,0
13271,22.0,0.88,1
13273,13.0,0.52,0
13275,20.0,0.8,1
13277,18.0,0.72,1
13279,20.0,0.8,1
13281,14.5,0.58,0
13283,14.0,0.56,0
13285,9.0,0.36,0
13287,7.33,0.29,0
13289,20.5,0.82,1
13291,8.5,0.34,0
13293,19.0,0.76,1
13295,1.73,0.07,0
13297,8.5,0.34,0
13299,14.67,0.59,0
13301,11.5,0.46,0
13303,14.33,0.57,0
13305,11.5,0.46,0
13307,15.0,0.6,1
13309,11.33,0.45,0
13311,5.0,0.2,0
13313,16.0,0.64,1
13315,15.5,0.62,1
13317,13.33,0.53,0
13319,10.0,0.4,0
13321,19.67,0.79,1
15001,10.92,0.44,0
15003,10.72,0.43,0
15005,11.67,0.47,0
15007,5.25,0.21,0
15009,9.74,0.39,0
16001,7.67,0.31,0
16003,11.5,0.46,0
16005,4.64,0.19,0
16007,8.43,0.34,0
16009,16.2,0.65,1
16011,12.92,0.52,0
16013,13.5,0.54,0
16015,14.0,0.56,0
16017,3.0,0.12,0
16019,12.13,0.49,0
16021,11.71,0.47,0
16023,8.67,0.35,0
16025,8.0,0.32,0
16027,7.3,0.29,0
16029,7.0,0.28,0
16031,3.5,0.14,0
16033,7.0,0.28,0
16035,7.0,0.28,0
16037,6.0,0.24,0
16039,10.17,0.41,0
16041,6.0,0.24,0
16043,14.5,0.58,0
16045,9.33,0.37,0
16047,7.75,0.31,0
16049,5.62,0.22,0
16051,3.25,0.13,0
16053,8.33,0.33,0
16055,8.0,0.32,0
16057,14.33,0.57,0
16059,15.0,0.6,1
16061,3.0,0.12,0
16063,15.5,0.62,1
16065,8.5,0.34,0
16067,7.0,0.28,0
16069,15.33,0.61,1
16071,11.6,0.46,0
16073,3.62,0.14,0
16075,8.71,0.35,0
16077,7.67,0.31,0
16079,15.5,0.62,1
16081,9.0,0.36,0
16083,2.3,0.09,0
16085,11.7,0.47,0
16087,12.0,0.48,0
17001,15.62,0.62,1
17003,20.0,0.8,1
17005,6.14,0.25,0
17007,15.75,0.63,1
17009,12.8,0.51,0
17011,9.75,0.39,0
17013,13.0,0.52,0
17015,17.0,0.68,1
17017,12.75,0.51,0
17019,8.0,0.32,0
17021,18.0,0.72,1
17023,12.43,0.5,0
17025,15.8,0.63,1
17027,12.0,0.48,0
17029,16.0,0.64,1
17031,12.32,0.49,0
17033,15.5,0.62,1
17035,8.0,0.32,0
17037,10.2,0.41,0
17039,13.0,0.52,0
17041,13.5,0.54,0
17043,19.0,0.76,1
17045,13.8,0.55,0
17047,12.8,0.51,0
17049,4.8,0.19,0
17051,15.75,0.63,1
17053,8.25,0.33,0
17055,11.25,0.45,0
17057,1.38,0.06,0
17059,13.5,0.54,0
17061,14.5,0.58,0
17065,12.4,0.5,0
17067,7.1,0.28,0
17069,12.0,0.48,0
17071,15.25,0.61,1
17073,13.57,0.54,0
17075,11.44,0.46,0
17077,5.59,0.22,0
17079,3.2,0.13,0
17081,9.57,0.38,0
17083,8.12,0.32,0
17085,0.65,0.03,0
17087,11.0,0.44,0
17089,7.46,0.3,0
17091,2.07,0.08,0
17093,7.0,0.28,0
17095,3.41,0.14,0
17097,12.79,0.51,0
17099,9.36,0.37,0
17101,15.33,0.61,1
17103,7.57,0.3,0
17105,9.32,0.37,0
17107,8.6,0.34,0
17109,11.33,0.45,0
17113,11.79,0.47,0
17115,13.85,0.55,0
17117,11.5,0.46,0
17119,11.82,0.47,0
17121,1.42,0.06,0
17123,9.0,0.36,0
17125,9.0,0.36,0
17127,16.67,0.67,1
17129,10.0,0.4,0
17131,14.0,0.56,0
17133,6.0,0.24,0
17135,14.5,0.58,0
17137,3.0,0.12,0
17139,7.67,0.31,0
17141,1.42,0.06,0
17143,3.0,0.12,0
17145,13.0,0.52,0
17147,8.0,0.32,0
17149,13.0,0.52,0
17151,14.0,0.56,0
17153,19.5,0.78,1
17155,7.67,0.31,0
17157,9.96,0.4,0
17159,15.33,0.61,1
17161,14.21,0.57,0
17163,10.81,0.43,0
17165,17.33,0.69,1
17167,2.55,0.1,0
17169,14.5,0.58,0
17171,14.67,0.59,0
17173,13.5,0.54,0
17175,12.75,0.51,0
17177,4.0,0.16,0
17179,9.72,0.39,0
17181,18.0,0.72,1
17183,14.46,0.58,0
17185,11.0,0.44,0
17187,8.0,0.32,0
17189,2.07,0.08,0
17191,10.67,0.43,0
17193,13.6,0.54,0
17195,5.29,0.21,0
17197,8.44,0.34,0
17199,11.77,0.47,0
17201,7.62,0.3,0
17203,4.44,0.18,0
18001,14.4,0.58,0
18003,13.7,0.55,0
18007,8.0,0.32,0
18009,12.75,0.51,0
18013,10.75,0.43,0
18015,7.5,0.3,0
18017,14.0,0.56,0
18019,17.0,0.68,1
18021,8.45,0.34,0
18023,9.0,0.36,0
18025,5.0,0.2,0
18027,6.67,0.27,0
18029,0.0,0.0,0
18031,7.5,0.3,0
18033,8.75,0.35,0
18035,14.0,0.56,0
18039,6.68,0.27,0
18041,10.0,0.4,0
18043,12.0,0.48,0
18045,12.33,0.49,0
18047,7.0,0.28,0
18049,8.75,0.35,0
18051,11.55,0.46,0
18053,16.0,0.64,1
18055,8.71,0.35,0
18057,19.0,0.76,1
18061,1.14,0.05,0
18063,7.0,0.28,0
18065,11.42,0.46,0
18067,1.0,0.04,0
18069,12.17,0.49,0
18071,13.0,0.52,0
18073,7.29,0.29,0
18075,6.5,0.26,0
18077,8.0,0.32,0
18079,11.6,0.46,0
18081,12.5,0.5,0
18083,8.33,0.33,0
18085,18.0,0.72,1
18087,3.5,0.14,0
18089,11.32,0.45,0
18091,4.0,0.16,0
18093,11.0,0.44,0
18095,2.36,0.09,0
18097,7.02,0.28,0
18099,16.0,0.64,1
18101,11.33,0.45,0
18103,5.8,0.23,0
18105,14.0,0.56,0
18107,12.0,0.48,0
18109,9.0,0.36,0
18111,14.5,0.58,0
18113,7.67,0.31,0
18115,7.0,0.28,0
18117,14.86,0.59,0
18119,10.0,0.4,0
18121,9.67,0.39,0
18123,12.33,0.49,0
18125,11.0,0.44,0
18127,12.0,0.48,0
18129,12.0,0.48,0
18131,5.5,0.22,0
18133,9.33,0.37,0
18135,8.75,0.35,0
18137,1.62,0.06,0
18139,7.75,0.31,0
18141,13.62,0.54,0
18143,10.75,0.43,0
18145,5.33,0.21,0
18147,5.5,0.22,0
18149,13.0,0.52,0
18151,10.73,0.43,0
18153,8.5,0.34,0
18155,11.8,0.47,0
18157,13.6,0.54,0
18161,9.0,0.36,0
18163,14.24,0.57,0
18165,7.57,0.3,0
18167,16.25,0.65,1
18169,14.0,0.56,0
18171,12.33,0.49,0
18175,1.53,0.06,0
18177,10.4,0.42,0
18181,6.43,0.26,0
18183,3.0,0.12,0
19001,1.05,0.04,0
19003,11.5,0.46,0
19005,8.33,0.33,0
19007,4.75,0.19,0
19009,8.75,0.35,0
19011,3.13,0.13,0
19013,0.69,0.03,0
19015,5.81,0.23,0
19017,5.75,0.23,0
19019,12.0,0.48,0
19021,10.25,0.41,0
19023,12.6,0.5,0
19025,7.23,0.29,0
19027,5.0,0.2,0
19029,15.16,0.61,1
19031,1.37,0.05,0
